               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.020276,           0.0053418,                   0,             0.99388,                   1,               0.995,             0.81982,            0.013967,            0.002881,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.021601,           0.0057051,                   0,             0.99336,                   1,               0.995,             0.84446,              0.0139,           0.0028791,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.019809,           0.0054152,                   0,             0.99554,                   1,               0.995,              0.8407,            0.014102,            0.002859,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.020747,           0.0058757,                   0,             0.99662,                   1,               0.995,             0.79174,             0.01587,           0.0029081,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.019147,           0.0052348,                   0,              0.9955,                   1,               0.995,             0.84869,            0.013482,           0.0028232,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.020189,           0.0052843,                   0,             0.99755,                   1,               0.995,             0.82684,            0.013702,           0.0027893,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.020275,           0.0057355,                   0,             0.99814,                   1,               0.995,             0.81337,            0.015355,           0.0028147,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.019387,           0.0058755,                   0,             0.99807,                   1,               0.995,             0.83407,            0.014322,           0.0028368,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.018813,           0.0048705,                   0,             0.99788,                   1,               0.995,             0.84412,            0.012564,           0.0027369,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.019174,           0.0054658,                   0,             0.99736,                   1,               0.995,             0.81324,            0.015243,           0.0027667,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.019078,           0.0054144,                   0,             0.99628,                   1,               0.995,              0.8043,            0.017383,           0.0028938,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.018853,           0.0050128,                   0,             0.99706,                   1,               0.995,             0.80875,            0.014346,           0.0028849,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.018016,           0.0051384,                   0,             0.99656,                   1,               0.995,             0.84876,            0.012786,           0.0028552,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.018117,           0.0055542,                   0,             0.99754,                   1,               0.995,             0.84764,            0.013122,           0.0028909,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.018345,           0.0058693,                   0,             0.99768,                   1,               0.995,              0.8656,            0.012808,           0.0027722,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.017842,           0.0046684,                   0,              0.9974,                   1,               0.995,             0.86273,            0.012323,           0.0026964,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.018831,           0.0053312,                   0,              0.9979,                   1,               0.995,             0.86609,            0.012628,           0.0026578,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.018215,           0.0052815,                   0,             0.99814,                   1,               0.995,             0.86226,            0.011965,           0.0026414,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.017678,           0.0053902,                   0,             0.99782,                   1,               0.995,             0.85914,            0.012578,           0.0026896,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.018882,           0.0049705,                   0,             0.99796,                   1,               0.995,             0.85155,            0.012367,           0.0026104,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.018401,            0.004959,                   0,             0.99757,                   1,               0.995,             0.85635,            0.012694,           0.0026652,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.017456,            0.005358,                   0,             0.99666,                   1,               0.995,             0.87597,            0.011628,           0.0025951,                   0,              0.0034,              0.0034,              0.0034
                 102,              0.0172,           0.0050687,                   0,             0.99667,                   1,               0.995,             0.89387,            0.011824,            0.002585,                   0,            0.003334,            0.003334,            0.003334
                 103,             0.01702,           0.0050963,                   0,             0.99685,                   1,               0.995,             0.87534,             0.01168,           0.0025998,                   0,            0.003268,            0.003268,            0.003268
                 104,             0.01709,           0.0045369,                   0,             0.99717,                   1,               0.995,             0.85307,            0.012251,           0.0026636,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.017085,           0.0048789,                   0,             0.99683,                   1,               0.995,              0.8336,            0.013569,           0.0027023,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.017234,           0.0044841,                   0,             0.99583,                   1,               0.995,             0.87762,            0.011245,           0.0026219,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.017218,           0.0051802,                   0,              0.9961,                   1,               0.995,             0.87406,            0.012428,           0.0026541,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.016564,           0.0048302,                   0,             0.99597,                   1,               0.995,             0.87875,             0.01181,            0.002605,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.015641,           0.0050794,                   0,             0.99623,                   1,               0.995,             0.86623,            0.011275,           0.0025812,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.015356,           0.0043384,                   0,             0.99661,                   1,               0.995,             0.87373,            0.011756,           0.0025779,                   0,            0.002806,            0.002806,            0.002806
                 111,            0.016889,           0.0053182,                   0,             0.99723,                   1,               0.995,              0.8617,            0.012565,           0.0025872,                   0,             0.00274,             0.00274,             0.00274
                 112,            0.018151,           0.0055113,                   0,              0.9969,                   1,               0.995,             0.88283,            0.012028,           0.0025507,                   0,            0.002674,            0.002674,            0.002674
                 113,            0.016165,           0.0051577,                   0,             0.99675,                   1,               0.995,             0.90507,            0.010861,           0.0025178,                   0,            0.002608,            0.002608,            0.002608
                 114,             0.01541,           0.0046346,                   0,             0.99716,                   1,               0.995,             0.89063,            0.011248,           0.0025647,                   0,            0.002542,            0.002542,            0.002542
                 115,            0.015901,           0.0045298,                   0,             0.99678,                   1,               0.995,             0.87112,             0.01102,           0.0026104,                   0,            0.002476,            0.002476,            0.002476
                 116,             0.01626,           0.0049263,                   0,             0.99717,                   1,               0.995,             0.87741,            0.011934,           0.0025941,                   0,             0.00241,             0.00241,             0.00241
                 117,            0.015816,           0.0046754,                   0,             0.99738,                   1,               0.995,             0.90002,            0.010784,           0.0025201,                   0,            0.002344,            0.002344,            0.002344
                 118,            0.016912,             0.00527,                   0,             0.99754,                   1,               0.995,               0.901,            0.011072,           0.0025087,                   0,            0.002278,            0.002278,            0.002278
                 119,            0.015803,           0.0047487,                   0,             0.99708,                   1,               0.995,             0.89712,            0.010726,           0.0024676,                   0,            0.002212,            0.002212,            0.002212
                 120,            0.015603,           0.0045093,                   0,             0.99707,                   1,               0.995,             0.88444,            0.010884,           0.0024027,                   0,            0.002146,            0.002146,            0.002146
                 121,             0.01624,           0.0049547,                   0,             0.99726,                   1,               0.995,              0.9068,           0.0098565,           0.0022969,                   0,             0.00208,             0.00208,             0.00208
                 122,            0.015775,            0.004782,                   0,             0.99755,                   1,               0.995,             0.89948,             0.01035,           0.0022986,                   0,            0.002014,            0.002014,            0.002014
                 123,            0.014059,           0.0043221,                   0,             0.99791,                   1,               0.995,             0.89739,            0.010415,           0.0022779,                   0,            0.001948,            0.001948,            0.001948
                 124,            0.015776,           0.0049252,                   0,             0.99787,                   1,               0.995,             0.89389,            0.010334,           0.0022693,                   0,            0.001882,            0.001882,            0.001882
                 125,            0.015542,           0.0051043,                   0,             0.99743,                   1,               0.995,              0.9091,            0.010021,           0.0022623,                   0,            0.001816,            0.001816,            0.001816
                 126,            0.014263,           0.0049553,                   0,             0.99733,                   1,               0.995,             0.90353,           0.0099172,           0.0022633,                   0,             0.00175,             0.00175,             0.00175
                 127,            0.014808,           0.0048277,                   0,             0.99762,                   1,               0.995,             0.91111,           0.0098835,           0.0022385,                   0,            0.001684,            0.001684,            0.001684
                 128,            0.015507,            0.004289,                   0,             0.99781,                   1,               0.995,             0.91478,            0.010015,           0.0022923,                   0,            0.001618,            0.001618,            0.001618
                 129,            0.014068,           0.0047804,                   0,             0.99787,                   1,               0.995,             0.90809,            0.010038,           0.0023231,                   0,            0.001552,            0.001552,            0.001552
                 130,            0.013757,           0.0041818,                   0,             0.99818,                   1,               0.995,             0.91563,           0.0098306,           0.0023475,                   0,            0.001486,            0.001486,            0.001486
                 131,            0.014474,           0.0049592,                   0,             0.99821,                   1,               0.995,             0.91674,           0.0099375,           0.0023403,                   0,             0.00142,             0.00142,             0.00142
                 132,            0.014454,           0.0046259,                   0,             0.99811,                   1,               0.995,             0.90944,           0.0099584,           0.0023549,                   0,            0.001354,            0.001354,            0.001354
                 133,            0.014638,           0.0044032,                   0,             0.99773,                   1,               0.995,              0.9084,           0.0094267,           0.0023115,                   0,            0.001288,            0.001288,            0.001288
                 134,            0.013995,           0.0047207,                   0,             0.99761,                   1,               0.995,             0.91473,           0.0096358,           0.0022827,                   0,            0.001222,            0.001222,            0.001222
                 135,            0.014036,           0.0045591,                   0,             0.99762,                   1,               0.995,             0.92437,           0.0091782,           0.0022327,                   0,            0.001156,            0.001156,            0.001156
                 136,            0.013808,           0.0044381,                   0,             0.99742,                   1,               0.995,             0.92322,           0.0093212,           0.0022194,                   0,             0.00109,             0.00109,             0.00109
                 137,            0.014311,           0.0045184,                   0,             0.99714,                   1,               0.995,             0.90394,           0.0096135,           0.0022249,                   0,            0.001024,            0.001024,            0.001024
                 138,            0.014165,           0.0044283,                   0,             0.99705,                   1,               0.995,             0.92021,           0.0094232,           0.0021811,                   0,            0.000958,            0.000958,            0.000958
                 139,            0.013769,           0.0048348,                   0,             0.99729,                   1,               0.995,             0.90662,           0.0097857,           0.0021818,                   0,            0.000892,            0.000892,            0.000892
                 140,            0.013745,           0.0046064,                   0,             0.99735,                   1,               0.995,             0.92214,           0.0092339,           0.0021842,                   0,            0.000826,            0.000826,            0.000826
                 141,            0.013444,           0.0047047,                   0,             0.99712,                   1,               0.995,             0.92592,           0.0088224,           0.0021958,                   0,             0.00076,             0.00076,             0.00076
                 142,            0.013904,           0.0044402,                   0,              0.9968,                   1,               0.995,             0.91855,           0.0087665,           0.0021696,                   0,            0.000694,            0.000694,            0.000694
                 143,            0.013603,           0.0041917,                   0,             0.99675,                   1,               0.995,             0.92673,             0.00884,           0.0021706,                   0,            0.000628,            0.000628,            0.000628
                 144,            0.013537,           0.0047232,                   0,             0.99681,                   1,               0.995,              0.9411,           0.0088363,           0.0021311,                   0,            0.000562,            0.000562,            0.000562
                 145,            0.013275,           0.0041477,                   0,             0.99651,                   1,               0.995,             0.93784,           0.0084676,           0.0021161,                   0,            0.000496,            0.000496,            0.000496
                 146,            0.014335,           0.0045115,                   0,             0.99687,                   1,               0.995,             0.93955,           0.0086193,           0.0021187,                   0,             0.00043,             0.00043,             0.00043
                 147,            0.013247,             0.00437,                   0,             0.99666,                   1,               0.995,             0.93077,           0.0087638,           0.0021358,                   0,            0.000364,            0.000364,            0.000364
                 148,            0.013322,           0.0042372,                   0,             0.99663,                   1,               0.995,             0.93051,           0.0086604,           0.0021259,                   0,            0.000298,            0.000298,            0.000298
                 149,            0.013526,           0.0042549,                   0,             0.99647,                   1,               0.995,              0.9286,           0.0087197,           0.0021293,                   0,            0.000232,            0.000232,            0.000232
